[36678 ms] Verificados: 326,  Fallidos: 121
[36879 ms] Verificados: 328,  Fallidos: 123
[37080 ms] Verificados: 329,  Fallidos: 123
[37282 ms] Verificados: 331,  Fallidos: 123
[37483 ms] Verificados: 334,  Fallidos: 123
[37685 ms] Verificados: 335,  Fallidos: 124
[37885 ms] Verificados: 337,  Fallidos: 125
[38086 ms] Verificados: 338,  Fallidos: 125
[38287 ms] Verificados: 341,  Fallidos: 125
[38488 ms] Verificados: 342,  Fallidos: 126
[38690 ms] Verificados: 345,  Fallidos: 126
[38890 ms] Verificados: 347,  Fallidos: 126
[39091 ms] Verificados: 350,  Fallidos: 126
[39293 ms] Verificados: 352,  Fallidos: 127
[39494 ms] Verificados: 355,  Fallidos: 127
[39695 ms] Verificados: 357,  Fallidos: 127
[39896 ms] Verificados: 359,  Fallidos: 128
[40099 ms] Verificados: 360,  Fallidos: 129
[40300 ms] Verificados: 362,  Fallidos: 131
[40501 ms] Verificados: 363,  Fallidos: 132
[40703 ms] Verificados: 365,  Fallidos: 132
[40904 ms] Verificados: 367,  Fallidos: 132

========== FIN DE LA EJECUCIÓN ==========

Duración total: 40970 ms

Pedidos verificados: 368

Pedidos fallidos: 132

Centro 1: 
6(V) 0(V) 3(X) 5(V) 6(X) 2(X) 3(V) 3(X) 3(V) 3(X) 0(V) 2(X) 0(V) 3(X) 1(X) 8(V) 2(V) 1(V) 2(V) 3(V) 
1(X) 0(V) 2(V) 5(V) 0(V) 3(V) 4(V) 1(X) 1(V) 2(X) 1(X) 2(V) 1(V) 5(V) 1(X) 3(X) 4(V) 1(X) 2(V) 2(X) 
0(V) 2(X) 4(V) 2(V) 3(V) 3(V) 3(X) 4(V) 4(X) 2(V) 1(V) 2(V) 4(V) 4(V) 4(V) 3(X) 0(V) 2(X) 3(V) 3(V) 
4(X) 5(V) 1(X) 5(X) 1(V) 5(V) 3(V) 6(V) 5(X) 4(V) 2(V) 2(X) 0(V) 3(V) 3(V) 3(V) 2(V) 4(V) 4(X) 2(V) 
1(V) 4(V) 6(V) 2(X) 2(V) 5(X) 2(X) 2(V) 2(V) 4(X) 1(V) 1(X) 2(V) 3(V) 1(V) 1(V) 2(V) 3(X) 6(X) 1(V) 
2(V) 2(X) 1(X) 1(V) 2(V) 1(X) 1(X) 2(V) 4(X) 5(X) 1(X) 4(V) 3(V) 2(X) 0(V) 5(V) 2(V) 4(V) 6(V) 1(X) 
1(X) 1(V) 1(X) 2(V) 2(X) 1(V) 3(X) 4(V) 2(X) 2(X) 2(V) 3(X) 1(V) 1(X) 2(V) 1(V) 2(V) 2(X) 3(V) 2(V) 
4(X) 1(V) 1(X) 1(V) 2(V) 2(V) 3(V) 2(V) 4(V) 2(X) 2(V) 4(V) 1(X) 1(X) 1(V) 1(V) 3(V) 4(V) 0(V) 1(X) 
2(X) 3(V) 3(V) 5(V) 3(V) 5(V) 1(X) 3(X) 2(X) 1(X) 2(V) 2(V) 4(V) 3(V) 3(X) 1(V) 1(X) 3(V) 2(X) 2(V) 
2(V) 6(V) 4(V) 2(V) 3(X) 1(V) 3(V) 2(X) 4(V) 3(V) 6(V) 2(X) 3(X) 1(X) 0(V) 4(X) 1(V) 4(V) 2(V) 4(V) 

Total de casilleros: 200
Total de casilleros ocupados: 0
Total de casilleros disponibles: 128
Total de casilleros fuera de servicio: 72
